id,course_id,section,semester_id,fac_code
4717,ACT5113,1,21,TBD20
4718,CSE412,1,21,AT
4719,ETE111,1,21,SA
4720,ACT122,1,21,TBD1
4721,CSE112,1,21,SM
4722,CSE122,1,21,DSR
4723,CSE400,1,21,RIS
4724,CSE434,1,21,RIS
4725,ETE400,1,21,RIS
4726,ETE434,1,21,RIS
4727,ETE331,1,21,AJI
4728,CSE131,1,21,SMH
4729,CSE223,1,21,AR
4730,CSE425,1,21,AT
4731,CSE435,1,21,M
4732,ETE222,1,21,AJI
4733,CSE132,1,21,AR
4734,CSE224,1,21,SM
4735,ETE422,1,21,RIS
4736,STAT213,1,21,TBD4
4737,STAT133,1,21,TBD4
4738,ETE333,1,21,SMMA
4739,STAT212,1,21,TBD4
4740,CSE111,1,21,SA
4741,CSE426,1,21,M
4742,PHY222,1,21,SIS
4743,CSE232,1,21,NKS
4744,CSE311,1,21,RAJ
4745,CSE333,1,21,AR
4746,CSE414,1,21,TBD2
4747,ENG125,1,21,SMMA
4748,ETE211,1,21,AKA
4749,ETE212,1,21,MZ
4750,ETE233,1,21,AJI
4751,ETE335,1,21,AK
4752,MATH124.1,1,21,NH
4753,CSE213,1,21,SK
4754,CSE234,1,21,NKS
4755,CSE413,1,21,RAJ
4756,ETE221,1,21,SIS
4757,ETE411,1,21,AKA
4758,CSE133,1,21,TBD3
4759,CSE313,1,21,SK
4760,CSE331,1,21,RAJ
4761,ETE324,1,21,AKA
4762,ETE414,1,21,AK
4763,MATH135,1,21,NH
4764,CSE323,1,21,RAJ
4765,CSE423,1,21,TBD3
4766,ETE225,1,21,AK
4767,MATH124.2,1,21,NH
4768,CSE312,1,21,M
4769,MATH214,1,21,NH
4770,CSE123,1,21,AT
4771,MATH134,1,21,NH
4772,CSE121,1,21,NKS
4773,ETE315,1,21,AK
4774,ETE413,1,21,MZ
4775,CSE322,1,21,SK
4776,CSE325,1,21,TBD3
4777,CSE334,1,21,NKS
4778,MATH215,1,21,NH
4780,ACT1134,1,21,DSMH
4781,ACT1134,2,21,DSMH
4782,ACT1134,3,21,SHS
4783,ACT1134,4,21,SHS
4784,ACT1134,5,21,RH
4785,ACT1134,6,21,FI
4786,ACT1134,7,21,FI
4787,ECO1124,1,21,KHM
4788,ECO1124,2,21,KHM
4789,ECO1124,3,21,NR
4790,ECO1124,4,21,NR
4791,ECO1124,5,21,NR
4792,ECO1124,6,21,NR
4793,ECO1124,7,21,NR
4794,BUS1122,1,21,DHU
4795,BUS1122,2,21,TBD20
4796,BUS1122,3,21,FAH
4797,BUS1122,4,21,FAH
4798,BUS1122,5,21,TBD20
4799,BUS1122,6,21,TBD20
4800,BUS1122,7,21,TBD20
4801,BUS1131,1,21,SUH
4802,BUS1131,2,21,SUH
4803,BUS1131,3,21,ANR
4804,BUS1131,4,21,ANR
4805,BUS1131,5,21,MMM
4806,BUS1131,6,21,MMM
4807,BUS1131,7,21,MMM
4808,ECO1132,1,21,MS
4809,ECO1132,2,21,MS
4810,ECO1132,3,21,MS
4811,ECO1132,4,21,TBD20
4812,LLBP2416,1,21,TH
4813,ECO1132,5,21,TBD20
4814,ECO1132,6,21,TBD20
4815,ECO1132,7,21,TBD20
4816,LLBP2415,1,21,AZ
4817,LLBP2411,1,21,TBD10
4818,LLBP2419,1,21,BHF
4819,FIN2121,1,21,TBD20
4820,FIN2121,2,21,TBD20
4821,FIN2121,3,21,TBD20
4822,FIN2122,1,21,TBD20
4823,FIN2122,2,21,TBD20
4824,FIN2122,3,21,AIR
4825,ACT3112,1,21,SHS
4826,ACT3112,2,21,SHS
4827,ACT3112,3,21,SHS
4828,MGT2124,1,21,TZK
4829,MGT2124,2,21,TZK
4830,MGT2124,3,21,TZK
4831,MGT3131,1,21,MAK
4832,MGT3131,2,21,MAK
4833,ACT5113,2,21,TBD20
4834,MGT3131,3,21,MAK
4835,MGT3131,4,21,MAK
4836,MGT3131,5,21,MAK
4837,MGT3131,6,21,TBD20
4838,BUS5137,1,21,TBD20
4839,MGT3131,7,21,TBD20
4840,MGT3125,1,21,TBD20
4841,BUS5192,1,21,DHU
4842,MGT3125,2,21,TBD20
4843,MGT3125,3,21,TBD20
4844,MGT5199,1,21,TBD20
4845,MGT3125,4,21,TBD20
4846,MGT3125,5,21,SAN
4847,MGT3125,6,21,SAN
4848,MGT5199,2,21,TBD20
4849,MGT3125,7,21,SAN
4850,FIN3133,1,21,MhR
4851,FIN3133,2,21,MhR
4852,FIN3133,3,21,MhR
4853,FIN3133,4,21,MhR
4854,FIN3133,5,21,MhR
4855,FIN3133,6,21,MhR
4856,FIN3133,7,21,TBD20
4857,MIS5120,1,21,TBD20
4858,MGT3124,1,21,TBD20
4859,MGT3124,2,21,TBD20
4860,BUS5192,2,21,MAA
4861,MGT3124,3,21,TBD20
4862,BUS5137,2,21,TBD20
4863,MGT3124,4,21,TBD20
4864,MKT5134,1,21,ARN
4865,MGT3124,5,21,TBD20
4866,MGT3124,6,21,TBD20
4867,MGT3124,7,21,TBD20
4868,CELP1,1,21,KUA
4869,BUS5192,3,21,MAA
4870,ENG2221,1,21,SMA
4871,FIN5135,1,21,OTA
4872,MGT3134,1,21,TBD20
4873,MGT5130,1,21,TBD20
4874,GED2224,1,21,SMA
4875,MGT3134,2,21,TBD20
4876,MKT5134,2,21,DZR
4877,BUS5192,4,21,TBD20
4878,GED1224,1,21,TBD21
4879,FIN5137,1,21,TBD20
4880,MGT3134,3,21,TI
4881,ENG1233,1,21,MTHB
4882,MGT3134,4,21,TI
4883,MIS5120,2,21,SRID
4884,MGT3134,5,21,TI
4885,MGT3134,6,21,TBD20
4886,ECO5123,1,21,MS
4887,MGT3134,7,21,TBD20
4888,FIN5135,2,21,TBD20
4889,FIN5137,2,21,TBD20
4890,ENG2222,1,21,MAB
4891,ACT6143,1,21,TBD20
4892,ENG1232,1,21,STD
4893,FIN6144,1,21,TBD20
4894,FIN6145,1,21,AMND
4895,MATH124,1,21,NH
4896,MKT3123,1,21,ARN
4897,MKT3123,2,21,MHM
4898,MKT3123,3,21,ITA
4899,FIN6155,1,21,TBD20
4900,BUS3122,1,21,NR
4901,BUS3122,2,21,NR
4902,BUS3122,3,21,TBD20
4903,FIN3124,1,21,KMT
4904,FIN3124,2,21,TBD20
4905,ENG1224,1,21,AIM
4906,FIN3124,3,21,TBD20
4907,HRM6187,1,21,TBD20
4908,ENG2212,1,21,JB
4909,ENG1115,1,21,TBD20
4910,ENG1115,2,21,TBD20
4911,ENG1115,3,21,TBD20
4912,HRM6190,1,21,TBD20
4913,ENG1115,4,21,TBD20
4914,HRM6196,1,21,TBD20
4915,HRM6197,1,21,MAU
4916,MKT6161,1,21,MHM
4917,ENG3211,1,21,NRM
4918,MKT6164,1,21,ARN
4919,MKT6166,1,21,TBD20
4920,MGT2133,1,21,DZR
4921,ENG3211,2,21,NRM
4922,MKT6167,1,21,DZR
4923,ENG3211,3,21,NRM
4924,MGT2133,2,21,DZR
4926,MGT2133,3,21,TZK
4927,ENG3221,1,21,ASA
4928,ENG1212,1,21,MP
4929,MGT2133,4,21,MAK
4930,MGT2133,5,21,TZK
4931,ENG1224,2,21,ANM
4932,BUS3112,1,21,TBD20
4933,BUS3112,2,21,TBD20
4934,BUS3112,3,21,TBD20
4935,BUS3112,4,21,TBD20
4936,BUS3112,5,21,TBD20
4937,ENG1222,1,21,MTHB
4938,ACT3113,1,21,MMR
4939,ACT3113,2,21,MMR
4940,ACT3113,3,21,FI
4941,ACT3113,4,21,FI
4942,ACT3113,5,21,TBD20
4943,MKT3114,1,21,TBD20
4944,MKT3114,2,21,TBD20
4945,MKT3114,3,21,MHa
4946,MKT3114,4,21,MHa
4947,MKT3114,5,21,MHa
4948,BUS2113,1,21,AHD
4949,BUS2113,2,21,AHD
4950,BUS2113,3,21,AHD
4951,BUS2113,4,21,TBD20
4952,BUS1123,1,21,DHU
4953,BUS1123,2,21,SNI
4954,BUS1123,3,21,SNI
4955,BUS1123,4,21,AAH
4956,MGT113,1,21,TBD20
4957,MGT113,2,21,TBD20
4958,MGT113,3,21,TBD20
4959,MGT113,4,21,MMM
4960,BUS1112,1,21,MAA
4961,BUS1112,2,21,MAA
4962,BUS1112,3,21,MAA
4963,BUS1112,4,21,FR
4964,ECO2114,1,21,MZR
4965,ECO2114,2,21,MZR
4966,ECO2114,3,21,DHU
4967,ECO2114,4,21,MZR
4968,ECO2114,5,21,TBD20
4969,ECO2114,6,21,TBD20
4970,LLBP1206,1,21,TH
4971,FIN2111,1,21,KMT
