
1,"['3', '5', '10', '18', '37', '41', '63', '71', '100', '129', '129', '147', '162', '162', '170', '210', '210', '211', '213', '278', '278', '294', '294', '294', '295', '306', '336', '337', '348', '348', '351', '351', '351', '385', '388', '392', '397', '404', '408', '428', '435', '442', '453', '458', '460', '471', '472', '521', '521', '545', '545', '591', '611', '611', '627', '627', '652', '652', '652', '655', '655', '683', '690', '694', '694', '705', '705', '710', '710', '712', '712', '717', '720', '740', '751', '769', '777', '783', '783', '785', '812', '815', '815', '827', '827', '836', '836', '847', '847', '862', '862', '875', '876', '885', '888', '915', '933', '942', '950', '952', '968', '970', '971', '978', '980', '995', '1018', '1018', '1019', '1036', '1079', '1084', '1093', '1116', '1120', '1127', '1140', '1140', '1148', '1149', '1175', '1186', '1195', '1197', '1197', '1197', '1216', '1244', '1256', '1257', '1258', '1267', '1283', '1295', '1297', '1354', '1354', '1360', '1363', '1368', '1382', '1384', '1384', '1386', '1401', '1409', '1409', '1422', '1425', '1431', '1445', '1459', '1459', '1471', '1474', '1474', '1490', '1506', '1521', '1546', '1546', '1561', '1588', '1596', '1611', '1612', '1612', '1642', '1642', '1672', '1684', '1692', '1695', '1758', '1758', '1771', '1777', '1777', '1790', '1832', '1869', '1879', '1889', '1896', '1922', '1926', '1945', '1962', '1965', '2009', '2016', '2030', '2055', '2063', '2074', '2083', '2087', '2087', '2087', '2118', '2138', '2138', '2156', '2174', '2174', '2176', '2206', '2206', '2216', '2216', '2246', '2246', '2248', '2249', '2259', '2298', '2325', '2336', '2343', '2398', '2403', '2421', '2435', '2452', '2452', '2455', '2480', '2484', '2491', '2498', '2498', '2501', '2502', '2503', '2505', '2519', '2529', '2534', '2540', '2577', '2580', '2584', '2612', '2612', '2612', '2625', '2671', '2685', '2685', '2686', '2697', '2708', '2714', '2717', '2720', '2720']"
2,"['26', '67', '83', '107', '130', '139', '156', '213', '214', '300', '354', '408', '426', '476', '586', '626', '644', '648', '689', '702', '712', '746', '781', '782', '820', '820', '870', '874', '914', '915', '968', '970', '984', '1057', '1093', '1094', '1115', '1169', '1201', '1208', '1212', '1223', '1232', '1346', '1375', '1430', '1433', '1567', '1612', '1641', '1644', '1695', '1728', '1737', '1778', '1867', '1889', '1971', '2087', '2087', '2103', '2106', '2134', '2138', '2156', '2174', '2174', '2223', '2258', '2377', '2398', '2399', '2410', '2438', '2482', '2486', '2487', '2498', '2522', '2561', '2571', '2589', '2596', '2626', '2666', '2684', '2701']"
3,"['63', '140', '152', '237', '278', '365', '375', '489', '496', '603', '616', '643', '653', '685', '717', '746', '762', '805', '843', '867', '870', '1019', '1036', '1075', '1145', '1216', '1223', '1225', '1289', '1340', '1390', '1416', '1423', '1431', '1459', '1478', '1479', '1514', '1570', '1676', '1689', '1738', '1816', '1836', '1901', '1990', '2007', '2012', '2085', '2172', '2213', '2366', '2475', '2664', '2671', '2683', '2726']"
4,"['361', '521', '544', '655', '819', '964', '1031', '1093', '1251', '1411', '1419', '1437', '1565', '1583', '1664', '1724', '1788', '1908', '2138', '2161', '2231', '2294', '2301', '2323', '2375', '2603', '2634', '2688']"
5,"['54', '63', '165', '364', '387', '574', '646', '686', '800', '908', '1415', '1424', '1445', '1469', '1612', '1848', '2025', '2115', '2135', '2148', '2159', '2309', '2431', '2437', '2480', '2486', '2505', '2508', '2573', '2637', '2679', '2682']"
6,"['40', '113', '121', '127', '145', '180', '184', '452', '453', '529', '588', '645', '706', '872', '976', '1202', '1358', '1406', '1498', '1546', '1721', '1932', '2087', '2215', '2244', '2248', '2492', '2654']"
7,"['49', '295', '578', '591', '608', '653', '775', '1080', '1332', '1449', '1655', '1728', '1836', '2104', '2245', '2287']"
8,"['71', '126', '218', '626', '1019', '1133', '1386', '1407', '1807', '1973', '2061', '2512']"
9,"['222', '849', '901', '902', '912', '917', '972', '1341', '1580', '1646', '1705', '1715', '1718', '1720', '2420']"
10,"['289', '338', '451', '468', '509', '579', '621', '707', '818', '907', '1058', '1167', '1214', '1448', '1559', '1653', '1856', '1942', '2153', '2182', '2528', '2721']"
11,"['19', '141', '697', '1085', '1222', '1274', '1300', '1620', '1660', '1697', '1802', '2152', '2223', '2733']"
12,"['159', '386', '609', '905', '1168', '1231', '1902', '2460', '2699']"
13,"['1550', '1798', '2708']"
15,"['358', '379', '491', '630', '677', '723', '1055', '1195', '1314', '2376', '2481', '2538', '2732']"
16,"['105', '568']"
17,"['1089', '1560', '2382']"
18,['658']
19,"['41', '988', '1324', '2440']"
20,['997']
21,"['211', '1880', '2101', '2157']"
23,['2124']
24,['1488']
